time,field_id,et,etof,eto,pr,ndvi,acres,year,month,et_acft,pr_acft,net_et_acft
2023-09-01,21106016472,63.754,0.567,112.503,15.113,0.402,47.289998000000004,2023,9,9.891491248333333,2.344795734166667,7.546695514166666
2023-09-01,21106016479,61.496,0.548,112.212,14.578,0.513,12.649049,2023,9,2.552053534461942,0.6049797779593176,1.9470737565026246
2023-09-01,21106016499,38.781,0.346,112.211,17.006,0.294,110.87377,2023,9,14.106941188877952,6.186087049278215,7.920854139599737
2023-09-01,21106016518,79.362,0.707,112.212,14.49,0.609,7.756469,2023,9,2.019582981555118,0.3687376502952756,1.6508453312598421
2023-09-01,21106016562,25.869,0.23,112.396,15.464,0.346,24.121902000000002,2023,9,2.0472752061614177,1.223822482047244,0.8234527241141736
2023-09-01,21106016563,25.966,0.232,111.771,14.079,0.235,40.331662,2023,9,3.4358659300918637,1.862957576437008,1.5729083536548556
2023-09-01,21106016578,71.526,0.636,112.5,15.032,0.568,38.050929,2023,9,8.929234736397637,1.8765799367716534,7.052654799625984
2023-09-01,21106016597,11.311,0.103,109.643,17.56,0.173,58.614591000000004,2023,9,2.1751628569586616,3.376877355511811,0.0
2023-09-01,21106016604,67.029,0.599,111.93,15.358,0.537,7.63539,2023,9,1.6791094367125983,0.38472545807086617,1.2943839786417322
2023-09-01,21106016663,44.932,0.399,112.589,14.686,0.356,43.272152000000006,2023,9,6.37895122593176,2.084956772545932,4.293994453385828
2023-09-01,21106016745,61.515,0.547,112.509,14.605,0.442,14.855652,2023,9,2.9981805537401574,0.711833325,2.2863472287401576
2023-09-01,21106016840,26.224,0.234,112.036,15.061,0.236,29.152858000000002,2023,9,2.5082170216272965,1.4405222911351707,1.0676947304921258
2023-09-01,21106016902,44.375,0.396,111.946,14.972,0.266,21.895531000000002,2023,9,3.187710590961286,1.0755245739238846,2.1121860170374016
2023-09-01,21106016931,77.121,0.688,112.045,14.882,0.583,42.866908,2023,9,10.846255944448819,2.092996472624672,8.753259471824148
2023-09-01,21106016935,87.464,0.778,112.473,15.008,0.632,47.51733,2023,9,13.635353514173229,2.339698453543307,11.295655060629922
2023-09-01,21106016940,56.158,0.499,112.509,14.509,0.385,9.841993,2023,9,1.813342004245407,0.46849565760170603,1.3448463466437008
2023-09-01,21106016973,70.546,0.63,111.952,15.596,0.45,33.059509,2023,9,7.651627696568242,1.6915882623490814,5.96003943421916
2023-09-01,21106016975,36.327,0.323,112.465,15.511,0.309,21.962248,2023,9,2.617528159763779,1.1176392018635168,1.4998889579002623
2023-09-01,21106017023,60.966,0.546,111.653,14.978,0.613,3.456929,2023,9,0.6914538497834646,0.1698749427887139,0.5215789069947507
2023-09-01,21106017033,42.674,0.381,112.07,14.599,0.271,99.48493100000002,2023,9,13.928543128261158,4.765027912299869,9.163515215961288
2023-09-01,21106017049,68.312,0.611,111.771,13.81,0.449,101.716244,2023,9,22.796719357375327,4.608600162860892,18.188119194514435
