date,rh,flux,ebr,EToF_filtered,es,rso,ebr_5day_clim,EToF,t_max,ebr_corr,Rn,energy,t_min,sw_in,H,t_dew,vp,LE,wd,ws,ebc_cf,flux_corr,vpd,LE_corr,H_corr,t_avg,G,Rn_subday_gaps,ET_fill_val,G_subday_gaps,ET_gap,ASCE_ETo,ET,ET_corr,gridMET_ETo,gridMET_prcp,H_subday_gaps,ET_fill,ppt,LE_subday_gaps,gridMET_ETr
2011-02-28,,53.02071359672619,1.2691998300859324,0.9164118549096896,1.5318204579223635,185.87751791095818,0.9128051640421538,1.0410476565511906,16.94100017857143,1.2481561349047492,40.10757722693454,41.77491387872025,8.875852607142857,142.42895711011903,0.4341289166666666,,1.1698076786819869,52.58658468005954,186.75998589657746,3.285201504464286,0.984632181415312,52.14161504284225,,51.653675452721565,0.487939590120661,13.02475506622024,-1.6673366517857144,0.0,,0.0,0.0,49.64826492234092,51.52526070553751,50.611464839418495,48.60000090000001,87.5,0.0,44.4435932961623,19.300000000000004,0.0,67.1000004
2011-03-31,81.00019959677418,77.55515721102152,1.1943485884079272,0.8652487469163858,1.8092336848729504,245.90514752913379,0.9746849280769204,0.8688234241541619,18.72950258064516,1.1103487875845446,67.53273748790322,64.9351102046371,12.360509612903225,156.18878188715274,9.350716067204301,12.655630571553939,1.5084571984642905,68.2044411438172,209.08003343965518,3.4654117343750013,0.9181399668908587,72.10062088738763,0.2945716106854839,63.32166797610228,8.778952911285309,15.715897214236113,2.59762728326613,0.0,,1.0,0.0,67.21347334267227,74.15756481601264,68.85301398273282,78.7000008,130.40000250000003,0.0,68.39086874987551,120.4,0.0,104.00000080000002
2011-04-30,65.04135129310346,127.78772017916666,,0.6638052485467376,,305.20342333526435,0.9929158161071426,0.6650036014022597,,,,,,267.02352324444445,59.45875558541666,,,68.32896459375,,,0.9698379991235612,123.46939710138749,0.6193162596264368,67.91694810270941,55.5524489986781,,,768.0,,768.0,0.0,,71.99737662635634,71.55312328983291,112.70000149999998,3.60000014,0.0,73.0449114505017,3.8000000000000007,0.0,145.50000110000005
2011-05-31,60.99849865591397,141.3744620255376,1.0760391836746301,0.5965769664192851,1.91222835876503,345.67115905953835,1.024720893717468,0.5922649116920881,20.775943516129026,1.0214733792295934,136.82695791095426,131.38412073689517,12.435852258064518,289.1852109280915,56.2318554079301,8.135168602125814,1.0866667568469288,85.14260661760754,245.7212962777777,4.890596432795698,0.9478012822902558,134.2053817862251,0.8186325504032258,82.94659894224516,51.25878284397997,16.3544791827957,5.4428371740591395,1.0,,0.0,0.0,156.98990126356318,92.60824603866438,90.21669947144855,152.10000159999998,27.30000064,0.0,88.85128277055655,23.700000000000006,0.0,197.20000149999998
2011-06-30,62.59392824074074,149.21692837083333,0.9159493145433488,0.8490103019144265,2.460877253129819,361.63809317663095,0.9658983185300184,0.8515751856625962,25.080435241379305,0.9593776452166696,171.2964006242284,162.90959117669755,15.459129241379314,322.61364953780867,18.463918977777773,11.391713706022363,1.3920131323125091,130.75300939305552,249.87470619871792,4.233178273148149,1.042939595351085,156.2918199663104,1.063791497839506,138.25554579881148,18.036274167498934,20.16217612731481,8.386809447530865,116.0,,110.0,0.0,183.71397008573032,138.23698757378284,146.17470361558603,166.9000018,33.500001,0.0,145.30582085093462,34.7,0.0,211.40000230000004
2011-07-31,66.20283888888888,147.86244137096776,0.7866613338535454,1.1298426808122704,2.621265695574025,352.5361563386772,0.8670062567054659,1.129512651136655,27.120834193548394,0.9938607674536516,187.6589133381944,187.96200475069446,16.699441806451617,344.16651503888886,-23.869391047715048,13.512639446108595,1.590379544462914,171.73183241868276,246.9398867763889,3.9988539027777774,1.26525435310412,186.80806229365209,1.0308861511111111,217.48453169196503,-30.676469398312978,21.277978122916654,-0.3030914125000003,21.0,,21.0,0.0,188.59399635265908,187.6920403652449,237.69376844578255,211.60000209999998,0.0,0.0,238.1298664499427,0.1,0.0,275.1000069
2011-08-31,68.05382661290321,125.6521125739247,0.7775896338881031,1.0567381041324109,2.546688863963178,318.57335301800265,0.8255180683827716,1.0587219797143288,27.380156774193548,0.9972665162060996,160.02237998185493,161.591805108871,16.05721777419355,310.01133969254033,-31.417607854166675,13.704699903086784,1.6044331240326224,157.06972042809141,244.68015492986112,3.1661455770833333,1.2818956353990296,161.15009652837878,0.9421167478494624,201.42692032704025,-40.276823798661425,20.93487474236111,-1.5694251270161288,0.0,,0.0,0.0,170.26638510743976,171.60856621837485,220.07022097313038,207.70000270000003,0.0,0.0,219.78897899428011,0.0,0.0,283.30000599999994
2011-09-30,66.56516451149423,97.0731210875,0.7936117031533605,0.9071047084883298,2.5960153823658647,264.5102442051096,0.8475204279465308,0.905895467348944,28.21419463333333,0.9795161864476056,120.80917011206895,122.31815723204024,15.43479126666667,239.1737090930316,-22.770113202083333,13.10355479734325,1.55306928809274,119.84323428958332,243.18479816041665,2.6834452215277773,1.231914708926102,119.8126149052266,1.0400960788793103,148.20898489403697,-28.39636998881032,21.100297606250006,-1.5089871199712643,14.0,,14.0,0.0,131.57959406738343,126.74321108999551,156.7411712336656,172.60000119999998,1.6,0.0,157.51240783554832,0.1,0.0,244.000002
2011-10-31,75.12338239247313,55.79058650604839,,0.7117383755621992,2.1125214955503826,202.21706199499388,0.8937117756944515,0.7063148056828135,23.44960767741936,,,,12.911442387096775,169.34578943985218,9.680927030241936,12.308038916395216,1.5253306679662395,46.10965947580645,233.75093372430558,1.956421691196236,1.1320206031895779,63.42801534364715,0.5919941338037633,52.56049034457077,10.867524999076387,17.974414476142467,,913.0,,1009.0,0.0,76.48956957190697,50.23807338357272,57.27071636815816,83.60000080000003,27.8000013,0.0,59.219842626719974,0.1,0.0,112.70000064000004
2011-11-30,79.69225666666667,24.435142255555558,0.9837873247369656,0.6000960717823312,1.5110070928430743,151.50978122233317,0.8398556478154034,0.6341810858350742,16.877917866666664,1.1633429719751676,20.261827144396555,24.554312224702386,8.771701266666668,100.88700254513887,1.3621832659722226,9.310356115186694,1.2279212628401768,23.07295898958333,196.43746028472225,2.1771018291666664,1.1805505833865588,28.894914883981013,0.3137586128333333,27.119878332715555,1.7750365512654511,12.851674084027774,-4.576002781994047,47.0,,66.0,0.0,42.469985055121555,24.222343126603555,28.47075937808281,47.50000054,22.0,0.0,27.87698343076673,32.89999999999999,0.0,69.20000080000001
