date,rh,sw_in,H,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.78058644905343,,,1.1497315914821282,0.8697682201729292,,,0.8697682201729292,,,,,3.4,2.3,0.0,,,,False,
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.7652050901809,,,1.1449319664431188,0.8734143419076953,,,0.8734143419076953,,,,,3.6000001000000004,2.5,0.0,,,,False,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.7651788752821,,,1.141356398752254,0.8761505180092855,,,0.8761505180092855,,,,,3.4,2.4,0.0,,,,False,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.7797163233306,,,1.1380085334393697,0.8787280328889359,,,0.8787280328889359,,,,,3.5,2.5,0.0,,,,False,
2013-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.80801886145787,,,1.1355299997248272,0.8806460421497714,,,0.8806460421497714,,,,,3.7,2.6000001,0.0,,,,False,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.84928144599925,,,1.1315852833628106,0.8837159820850892,,,0.8837159820850892,,,,,3.1000001,2.3,0.0,,,,False,
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.90269319710552,,,1.1296024860930471,0.8852671734626729,,,0.8852671734626729,,,,,3.4,2.4,0.0,,,,False,
2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.9674380456641,,,1.1330364769463492,0.8825841182934407,,,0.8825841182934407,,,,,3.4,2.4,0.0,,,,False,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.04269539124246,,,1.1340258398989351,0.8818141217038938,,,0.8818141217038938,,,,,3.8,2.7,0.0,,,,False,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.1276407697349,,,1.1384714685493451,0.8783707169001016,,,0.8783707169001016,,,,,3.6000001000000004,2.8,0.0,,,,False,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.22144652937192,,,1.1431397877860956,0.8747836534818609,,,0.8747836534818609,,,,,3.0,2.4,0.0,,,,False,
2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.32328251372036,,,1.1483536451061258,0.8708118829610059,,,0.8708118829610059,,,,,2.5,1.8000001,0.0,,,,False,
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.43231675029529,,,1.152559253936717,0.8676343507584264,,,0.8676343507584264,,,,,3.2,2.5,0.0,,,,False,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.54771614337884,,,1.1571561921820042,0.8641875718733694,,,0.8641875718733694,,,,,3.7,2.7,0.0,,,,False,
2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.6686471696362,,,1.1612215754859128,0.8611620909485344,,,0.8611620909485344,,,,,3.8,2.6000001,9.400001,,,,False,
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.79427657511133,,,1.1657698622500487,0.857802240718338,,,0.857802240718338,,,,,2.7,2.2,0.0,,,,False,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.92377207217663,,,1.1709845468780895,0.8539822345786341,,,0.8539822345786341,,,,,3.6000001000000004,2.7,0.0,,,,False,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.05630303501624,,,1.1751998202871003,0.8509191226354177,,,0.8509191226354177,,,,,5.0,3.5,0.0,,,,False,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.1910411922235,,,1.1760278832630733,0.8503199747486799,,,0.8503199747486799,,,,,4.3,3.2,0.0,,,,False,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.32716131510085,,,1.1777293403684768,0.8490915235983928,,,0.8490915235983928,,,,,4.1,3.1000001,0.0,,,,False,
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.4638419002628,,,1.1767927009464056,0.8497673372683017,,,0.8497673372683017,,,,,4.0,3.1000001,0.0,,,,False,
2013-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.60026584515663,,,1.1767923437337395,0.8497675952132635,,,0.8497675952132635,,,,,3.5,3.0,0.0,,,,False,
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.73562111513425,,,1.1766878765389883,0.8498430381906513,,,0.8498430381906513,,,,,4.2000003,3.3,0.0,,,,False,
